姓名,出生,去世,风格流派,国家
巴赫,1685,1750,巴洛克,德国
斯卡拉蒂,1685,1757,巴洛克,意大利
莫扎特,1756,1791,巴洛克,奥地利
贝多芬,1770,1827,古典,德国
海顿,1732,1809,古典,奥地利
舒伯特,1797,1828,古典,德国
舒曼,1810,1856,古典,德国
勃拉姆斯,1833,1897,古典,德国
门德尔松,1809,1847,古典,德国
瓦格纳,1813,1883,古典,德国
柏辽兹,1803,1869,古典,法国
韦伯,1786,1826,古典,德国
李斯特,1811,1886,浪漫,匈牙利
肖邦,1810,1849,浪漫,波兰
拉赫玛尼诺夫,1873,1943,浪漫,俄国
柴可夫斯基,1840,1893,浪漫,俄国
理查斯特劳斯,1864,1949,浪漫,德国
马勒,1860,1911,浪漫,奥地利
布鲁克纳,1824,1896,浪漫,奥地利
普契尼,1858,1924,浪漫,意大利
圣桑,1835,1921,浪漫,法国
斯克里亚宾,1872,1915,浪漫,俄国
德彪西,1862,1918,印象,法国
拉威尔,1875,1937,印象,法国
肖斯塔科维奇,1906,1975,20世纪,苏联
斯特拉文斯基,1882,1971,20世纪,俄国
普罗科菲耶夫,1891,1953,20世纪,苏联
勋伯格,1874,1951,20世纪,奥地利
梅西安,1908,1992,20世纪,法国
巴托克,1881,1945,20世纪、民族乐派,匈牙利
韦伯恩,1883,1945,20世纪,奥地利
贝尔格,1885,1935,20世纪,奥地利
斯美塔那,1824,1884,民族乐派,捷克
德沃夏克,1841,1904,民族乐派,捷克
